0.11,0.12,-0.22,0.40,-1.79,21.66,115.44,2.24
0.46,0.45,0.12,0.00,-0.45,-0.61,-13.72,8.18
0.64,0.60,-0.36,-0.02,-1.29,-2.13,15.84,6.23
0.85,0.92,-0.22,-0.02,-1.15,3.26,-15.19,7.89
1.04,1.07,-0.00,-0.05,-0.95,-5.08,-5.82,-16.18
1.11,1.22,-0.11,0.04,-0.93,3.42,-3.53,2.79
1.20,1.26,0.07,0.02,-0.94,-1.66,8.56,-6.89
1.25,1.32,-0.00,0.16,-1.01,-2.40,-1.77,2.76
1.28,1.37,-0.12,-0.05,-1.00,1.88,11.47,2.02
1.24,1.44,-0.01,0.01,-0.86,-0.96,-5.35,-4.60
1.25,1.45,-0.00,-0.04,-0.86,-1.63,0.62,-3.31
1.28,1.48,-0.16,-0.04,-1.10,-0.09,-0.82,1.81
1.38,1.48,-0.12,-0.02,-0.97,0.80,-1.83,2.10
1.37,1.50,0.04,-0.00,-0.85,0.42,0.04,1.44
1.36,1.55,-0.14,0.00,-0.98,0.97,-2.36,-1.20
1.35,1.56,-0.11,-0.00,-0.96,-0.86,1.12,-4.21
1.34,1.56,-0.08,0.00,-0.97,-1.18,-1.05,-2.88
1.35,1.58,-0.10,-0.00,-0.98,-0.39,-3.36,-4.23
1.36,1.63,-0.08,-0.03,-0.99,-0.99,-1.11,-3.21
1.34,1.62,-0.05,0.00,-0.91,-1.79,0.32,-3.08
1.35,1.65,-0.16,-0.05,-1.02,0.09,0.11,-4.12
1.37,1.63,-0.12,-0.02,-0.95,-1.06,1.98,-2.98
1.34,1.62,-0.08,-0.03,-0.99,-2.19,1.65,-2.50
1.32,1.62,-0.06,-0.01,-0.93,-1.61,-0.74,-3.51
1.31,1.65,-0.09,-0.01,-0.99,-0.37,-0.78,-4.49
1.31,1.62,-0.06,-0.02,-0.95,-1.19,1.79,-3.05
1.32,1.62,-0.07,-0.03,-0.94,-1.61,1.66,-3.60
1.36,1.60,-0.06,0.00,-0.94,-0.56,-1.92,-2.93
1.36,1.61,-0.06,-0.01,-0.97,-0.84,-1.91,-3.40
1.37,1.63,-0.09,-0.04,-1.00,-0.50,2.08,-5.50
1.37,1.63,-0.00,-0.03,-0.86,-0.83,0.54,-3.08
1.35,1.64,-0.31,0.04,-1.35,-1.24,5.28,-9.65
1.32,1.57,-0.10,-0.01,-0.96,-1.33,-3.00,-13.75
1.41,1.57,-0.19,0.05,-1.09,0.79,-7.15,-10.40
1.40,1.55,-0.06,-0.03,-0.91,-0.69,0.72,-9.11
1.42,1.53,-0.07,-0.00,-0.95,-1.07,4.27,-6.66
1.43,1.56,-0.13,-0.04,-0.99,-3.28,-1.67,-9.32
1.48,1.52,-0.13,-0.01,-0.98,0.37,-3.06,-10.50
1.47,1.53,-0.16,0.01,-1.02,-1.22,4.93,-8.39
