0.11,0.13,2.00,-0.46,0.42,0.63,115.70,3.40
0.40,0.46,0.05,0.00,-0.33,1.35,-13.99,-3.57
1.05,0.75,0.61,0.15,-1.04,-7.19,-11.02,-38.91
1.48,1.11,-0.25,0.02,-0.84,-3.44,9.37,2.50
1.76,1.43,-0.14,0.12,-1.14,-2.02,-5.97,3.64
1.81,1.55,-0.20,0.02,-1.05,1.01,-1.25,-5.83
1.93,1.69,-0.07,0.08,-1.07,1.49,1.53,7.02
2.02,1.74,-0.15,-0.02,-1.10,2.24,2.72,4.52
1.95,1.74,-0.24,0.01,-1.11,2.15,1.22,-4.10
1.94,1.76,-0.05,-0.03,-1.05,-0.34,-3.24,1.66
1.94,1.79,-0.11,0.11,-1.00,1.47,-0.23,-1.99
1.98,1.82,-0.08,0.00,-0.92,-0.97,2.59,2.25
1.98,1.84,-0.07,0.00,-0.92,4.25,8.26,-1.82
1.97,1.85,-0.13,0.02,-1.01,0.82,-1.75,-0.83
1.96,1.85,-0.06,0.02,-0.94,-2.03,-1.18,-0.89
1.95,1.85,-0.24,0.03,-1.08,6.33,-2.15,-1.56
1.96,1.86,-0.11,0.04,-1.07,-1.14,3.69,0.59
2.00,1.88,-0.14,-0.06,-0.99,2.63,9.05,-2.01
1.99,1.89,-0.05,0.00,-1.01,0.40,-2.93,-0.05
2.01,1.90,-0.00,-0.05,-0.83,-2.08,1.80,-1.94
2.00,1.91,-0.14,0.02,-0.96,2.76,2.52,0.55
2.02,1.92,-0.06,-0.02,-0.93,-5.85,6.24,1.34
2.00,1.92,-0.17,-0.17,-1.07,2.30,4.21,0.56
2.03,1.94,-0.06,0.01,-0.95,0.99,-0.71,0.64
2.04,1.94,0.01,-0.08,-0.92,-1.53,-2.97,3.03
2.06,1.96,-0.04,-0.04,-0.84,-2.31,-4.06,-2.08
2.03,1.94,0.08,0.00,-0.88,-3.13,-4.94,1.35
2.03,1.94,-0.10,0.02,-0.96,-0.64,-0.08,-0.33
2.00,1.92,0.07,-0.01,-0.92,-0.18,1.43,3.43
1.97,1.92,-0.13,-0.13,-0.97,-5.73,2.50,-0.95
2.01,1.91,0.01,-0.06,-0.95,-3.15,-0.65,1.07
2.02,1.93,-0.08,0.07,-1.00,1.93,-2.48,-1.24
2.01,1.91,-0.09,0.00,-0.97,0.58,-2.55,2.73
2.00,1.94,-0.21,0.01,-1.17,-2.38,-2.56,-0.80
2.04,1.94,-0.18,-0.04,-0.97,1.08,-1.13,1.92
2.00,1.95,-0.15,-0.06,-0.99,-0.17,10.66,0.79
1.97,1.93,-0.23,-0.04,-1.11,0.80,10.12,3.40
1.94,1.93,-0.18,-0.08,-1.12,-0.85,-1.82,1.30
1.92,1.95,-0.11,-0.03,-0.98,-0.39,-5.69,2.69
1.97,1.96,-0.26,-0.06,-1.04,2.60,-1.79,0.98
1.99,1.99,-0.00,-0.06,-0.86,-1.59,1.89,3.58
1.99,2.00,-0.06,-0.04,-0.93,-2.37,0.73,1.29
2.05,2.01,-0.11,0.02,-1.03,1.21,-5.45,0.21
2.05,2.01,-0.19,-0.01,-1.06,-0.84,1.96,3.42
2.03,1.99,-0.19,-0.06,-1.05,-1.51,0.03,0.20
2.06,1.99,-0.13,0.02,-0.97,2.69,-4.11,1.29
2.03,1.99,0.00,-0.02,-0.84,-3.70,-1.69,4.00
2.07,2.00,-0.22,-0.05,-1.06,0.25,0.98,0.02
2.04,2.00,-0.11,-0.04,-0.99,0.57,4.79,4.70
1.99,1.97,0.05,-0.07,-0.79,-2.35,3.75,0.60
1.97,1.96,-0.24,-0.02,-1.07,4.27,8.47,2.70
1.97,1.92,0.07,-0.05,-0.58,-2.85,-1.40,1.09
1.95,1.93,0.03,-0.03,-0.75,2.92,-0.96,6.58
1.98,1.94,-0.12,-0.10,-1.04,-3.47,5.16,4.78
1.99,1.97,-0.03,-0.02,-0.91,3.80,-3.13,3.30
1.99,1.98,-0.25,-0.01,-1.05,3.15,5.92,2.69
2.03,2.01,-0.21,0.04,-1.04,-1.00,5.07,3.00
2.05,2.02,-0.06,-0.09,-0.85,-1.43,3.47,6.24
2.05,2.03,-0.13,-0.01,-1.06,-0.69,0.04,2.69
2.04,2.04,0.01,-0.02,-0.89,-1.68,0.03,4.90
2.04,2.05,-0.11,-0.03,-1.03,0.24,-0.98,2.97
2.01,2.06,-0.01,-0.09,-0.91,-1.92,0.37,1.98
2.00,2.06,-0.02,0.04,-0.95,-1.40,0.23,5.40
2.03,2.09,-0.01,0.01,-0.84,-0.67,-2.41,3.20
2.00,2.07,-0.14,0.05,-1.14,0.31,-5.81,4.34
1.98,2.06,-0.22,-0.03,-1.08,0.47,0.66,4.88
1.95,2.05,-0.09,-0.04,-0.91,-2.05,-2.13,6.98
1.93,2.05,-0.06,-0.08,-0.95,-1.60,4.44,4.92
1.95,2.06,-0.13,0.05,-0.91,0.73,1.14,2.75
1.97,2.07,-0.04,0.00,-0.95,-0.08,-1.10,7.40
1.95,2.08,-0.03,-0.09,-0.88,1.20,0.80,3.31
1.95,2.08,-0.13,-0.03,-1.08,-2.21,-0.37,4.37
1.97,2.07,-0.19,-0.06,-1.16,-3.41,4.31,2.07
1.97,2.06,-0.04,-0.02,-0.85,-0.34,-1.86,1.42
1.98,2.06,0.03,-0.02,-0.88,-0.83,-6.32,4.88
1.99,2.07,-0.05,-0.02,-0.88,-0.64,-1.56,4.65
2.03,2.08,-0.26,-0.05,-1.00,2.92,1.75,2.86
2.00,2.07,-0.06,0.00,-0.94,-4.37,5.98,5.27
1.97,2.04,-0.06,-0.02,-0.93,-1.66,-6.15,2.66
1.95,2.01,0.04,-0.01,-0.92,-0.47,-6.24,2.49
1.94,2.02,-0.14,-0.07,-0.99,-2.17,-0.47,4.66
1.94,2.03,-0.10,-0.03,-1.04,0.34,-4.50,2.04
1.95,2.04,0.00,0.07,-0.89,0.96,6.85,6.08
1.95,2.04,-0.25,-0.09,-1.05,-1.27,0.91,3.74
1.95,2.05,-0.02,0.00,-0.84,0.01,1.91,1.33
1.93,2.03,-0.16,0.06,-1.03,0.07,-2.79,5.03
1.95,2.04,-0.28,0.00,-1.08,-0.57,3.49,1.83
1.99,2.05,-0.21,-0.04,-1.09,0.73,0.28,4.08
1.97,2.06,-0.06,-0.07,-1.02,-0.76,-0.29,3.11
1.95,2.05,-0.23,-0.03,-1.13,-2.06,1.24,3.92
1.93,2.04,-0.10,0.01,-1.02,-0.73,-2.49,3.85
1.92,2.04,0.04,-0.03,-0.77,1.45,-11.18,-0.78
1.92,2.02,0.00,-0.04,-0.96,-0.07,-4.04,3.29
1.93,2.02,-0.14,-0.04,-1.01,-1.56,-1.87,5.52
1.93,2.03,0.04,-0.04,-0.79,-3.09,-1.25,2.40
1.96,2.01,-0.05,-0.02,-1.02,0.02,0.52,3.54
1.94,2.01,-0.09,0.02,-0.95,-1.66,3.26,1.39
1.94,2.01,-0.10,0.03,-0.96,2.72,-2.11,1.41
1.94,2.00,0.02,-0.02,-0.96,-0.43,2.02,1.49
